hand_num,player,stage,action,winner
15,LLM,river,check,LLM
16,GTO,preflop,fold,LLM
16,Random,preflop,fold,LLM
17,GTO,preflop,fold,LLM
17,Random,preflop,fold,LLM
18,GTO,preflop,fold,Random
18,Random,preflop,raise,Random
18,LLM,preflop,fold,Random
19,GTO,preflop,fold,LLM
19,Random,preflop,fold,LLM
20,GTO,preflop,fold,LLM
20,Random,preflop,fold,LLM
21,GTO,preflop,fold,LLM
21,Random,preflop,fold,LLM
22,GTO,preflop,fold,Random
22,Random,preflop,call,Random
22,Random,flop,raise,Random
22,LLM,flop,check,Random
22,Random,turn,raise,Random
22,LLM,turn,check,Random
22,Random,river,call,Random
22,LLM,river,check,Random
23,GTO,preflop,fold,LLM
23,Random,preflop,call,LLM
23,Random,flop,fold,LLM
24,GTO,preflop,fold,Random
24,Random,preflop,raise,Random
24,LLM,preflop,fold,Random
25,GTO,preflop,fold,LLM
25,Random,preflop,fold,LLM
26,GTO,preflop,fold,Random
26,Random,preflop,call,Random
26,Random,flop,call,Random
26,LLM,flop,check,Random
26,Random,turn,call,Random
26,LLM,turn,check,Random
26,Random,river,raise,Random
26,LLM,river,check,Random
27,GTO,preflop,call,LLM
27,Random,preflop,call,LLM
27,LLM,preflop,call,LLM
27,GTO,flop,check,LLM
27,Random,flop,call,LLM
27,LLM,flop,check,LLM
27,GTO,turn,check,LLM
27,Random,turn,raise,LLM
27,LLM,turn,check,LLM
27,GTO,river,check,LLM
27,Random,river,fold,LLM
27,LLM,river,check,LLM
28,GTO,preflop,fold,LLM
28,Random,preflop,fold,LLM
29,GTO,preflop,fold,Random
29,Random,preflop,call,Random
29,Random,flop,raise,Random
29,LLM,flop,check,Random
29,Random,turn,raise,Random
29,LLM,turn,check,Random
29,Random,river,raise,Random
29,LLM,river,check,Random
30,GTO,preflop,fold,LLM
30,Random,preflop,raise,LLM
30,LLM,preflop,raise,LLM
30,Random,preflop,fold,LLM
31,GTO,preflop,fold,Random
31,Random,preflop,raise,Random
31,LLM,preflop,fold,Random
32,GTO,preflop,fold,LLM
32,Random,preflop,call,LLM
32,Random,flop,fold,LLM
33,GTO,preflop,fold,LLM
33,Random,preflop,fold,LLM
34,GTO,preflop,fold,Random
34,Random,preflop,call,Random
34,Random,flop,raise,Random
34,LLM,flop,check,Random
34,Random,turn,call,Random
34,LLM,turn,check,Random
34,Random,river,call,Random
34,LLM,river,check,Random
35,GTO,preflop,fold,LLM
35,Random,preflop,fold,LLM
36,GTO,preflop,fold,LLM
36,Random,preflop,fold,LLM
37,GTO,preflop,fold,LLM
37,Random,preflop,call,LLM
37,Random,flop,call,LLM
37,LLM,flop,check,LLM
37,Random,turn,raise,LLM
37,LLM,turn,check,LLM
37,Random,river,fold,LLM
38,GTO,preflop,fold,Random
38,Random,preflop,raise,Random
38,LLM,preflop,fold,Random
39,GTO,preflop,fold,LLM
39,Random,preflop,raise,LLM
39,LLM,preflop,raise,LLM
39,Random,preflop,call,LLM
39,Random,flop,call,LLM
39,LLM,flop,raise,LLM
39,Random,flop,fold,LLM
40,GTO,preflop,fold,LLM
40,Random,preflop,call,LLM
40,Random,flop,fold,LLM
41,GTO,preflop,fold,LLM
41,Random,preflop,call,LLM
41,Random,flop,fold,LLM
42,GTO,preflop,fold,Random
42,Random,preflop,raise,Random
42,LLM,preflop,raise,Random
42,Random,preflop,raise,Random
42,LLM,preflop,fold,Random
43,GTO,preflop,fold,Random
43,Random,preflop,call,Random
43,Random,flop,call,Random
43,LLM,flop,check,Random
43,Random,turn,call,Random
43,LLM,turn,check,Random
43,Random,river,raise,Random
43,LLM,river,check,Random
44,GTO,preflop,fold,Random
44,Random,preflop,call,Random
44,Random,flop,raise,Random
44,LLM,flop,check,Random
44,Random,turn,raise,Random
44,LLM,turn,check,Random
44,Random,river,raise,Random
44,LLM,river,check,Random
45,GTO,preflop,fold,LLM
45,Random,preflop,fold,LLM
46,GTO,preflop,fold,LLM
46,Random,preflop,fold,LLM
47,GTO,preflop,fold,LLM
47,Random,preflop,call,LLM
47,Random,flop,fold,LLM
48,GTO,preflop,fold,LLM
48,Random,preflop,call,LLM
48,Random,flop,raise,LLM
48,LLM,flop,check,LLM
48,Random,turn,call,LLM
48,LLM,turn,check,LLM
48,Random,river,fold,LLM
49,GTO,preflop,fold,LLM
49,Random,preflop,fold,LLM
50,GTO,preflop,fold,LLM
50,Random,preflop,fold,LLM
51,GTO,preflop,fold,LLM
51,Random,preflop,fold,LLM
52,GTO,preflop,fold,Random
52,Random,preflop,raise,Random
52,LLM,preflop,fold,Random
53,GTO,preflop,fold,LLM
53,Random,preflop,fold,LLM
54,GTO,preflop,fold,LLM
